areaCode,areaName,areaType,date,newCasesByPublishDate
E12000007,London,region,2021-10-04,2665
E12000007,London,region,2021-10-03,2274
E12000007,London,region,2021-10-02,2344
E12000007,London,region,2021-10-01,2195
E12000007,London,region,2021-09-30,2439
E12000007,London,region,2021-09-29,3072
E12000007,London,region,2021-09-28,2831
E12000007,London,region,2021-09-27,2960
E12000007,London,region,2021-09-26,2260
E12000007,London,region,2021-09-25,3074
E12000007,London,region,2021-09-24,2783
E12000007,London,region,2021-09-23,2494
E12000007,London,region,2021-09-22,2593
E12000007,London,region,2021-09-21,2450
E12000007,London,region,2021-09-20,2647
E12000007,London,region,2021-09-19,2402
E12000007,London,region,2021-09-18,2179
E12000007,London,region,2021-09-17,2597
E12000007,London,region,2021-09-16,2620
E12000007,London,region,2021-09-15,2588
E12000007,London,region,2021-09-14,2073
E12000007,London,region,2021-09-13,2673
E12000007,London,region,2021-09-12,2239
E12000007,London,region,2021-09-11,2857
E12000007,London,region,2021-09-10,3025
E12000007,London,region,2021-09-09,3439
E12000007,London,region,2021-09-08,3536
E12000007,London,region,2021-09-07,2972
E12000007,London,region,2021-09-06,2853
E12000007,London,region,2021-09-05,3641
E12000007,London,region,2021-09-04,3593
E12000007,London,region,2021-09-03,3530
E12000007,London,region,2021-09-02,3377
E12000007,London,region,2021-09-01,2834
E12000007,London,region,2021-08-31,2409
E12000007,London,region,2021-08-30,2751
E12000007,London,region,2021-08-29,2517
E12000007,London,region,2021-08-28,3272
E12000007,London,region,2021-08-27,3355
E12000007,London,region,2021-08-26,3472
E12000007,London,region,2021-08-25,3544
E12000007,London,region,2021-08-24,2782
E12000007,London,region,2021-08-23,2754
E12000007,London,region,2021-08-22,2977
E12000007,London,region,2021-08-21,3424
E12000007,London,region,2021-08-20,4093
E12000007,London,region,2021-08-19,3272
E12000007,London,region,2021-08-18,3489
E12000007,London,region,2021-08-17,3032
E12000007,London,region,2021-08-16,3166
E12000007,London,region,2021-08-15,3157
E12000007,London,region,2021-08-14,3870
E12000007,London,region,2021-08-13,4249
E12000007,London,region,2021-08-12,4005
E12000007,London,region,2021-08-11,3736
E12000007,London,region,2021-08-10,2844
E12000007,London,region,2021-08-09,2985
E12000007,London,region,2021-08-08,3662
E12000007,London,region,2021-08-07,3898
E12000007,London,region,2021-08-06,4409
E12000007,London,region,2021-08-05,3768
E12000007,London,region,2021-08-04,3876
E12000007,London,region,2021-08-03,2978
E12000007,London,region,2021-08-02,2719
E12000007,London,region,2021-08-01,3121
E12000007,London,region,2021-07-31,3686
E12000007,London,region,2021-07-30,3753
E12000007,London,region,2021-07-29,4333
E12000007,London,region,2021-07-28,3340
E12000007,London,region,2021-07-27,3227
E12000007,London,region,2021-07-26,3056
E12000007,London,region,2021-07-25,3926
E12000007,London,region,2021-07-24,4557
E12000007,London,region,2021-07-23,5187
E12000007,London,region,2021-07-22,4463
E12000007,London,region,2021-07-21,5763
E12000007,London,region,2021-07-20,7086
E12000007,London,region,2021-07-19,3940
E12000007,London,region,2021-07-18,5451
E12000007,London,region,2021-07-17,6592
E12000007,London,region,2021-07-16,6296
E12000007,London,region,2021-07-15,5743
E12000007,London,region,2021-07-14,4751
E12000007,London,region,2021-07-13,4126
E12000007,London,region,2021-07-12,4201
E12000007,London,region,2021-07-11,3669
E12000007,London,region,2021-07-10,4131
E12000007,London,region,2021-07-09,3046
E12000007,London,region,2021-07-08,3234
E12000007,London,region,2021-07-07,3314
E12000007,London,region,2021-07-06,3633
E12000007,London,region,2021-07-05,3343
E12000007,London,region,2021-07-04,2218
E12000007,London,region,2021-07-03,2531
E12000007,London,region,2021-07-02,2651
E12000007,London,region,2021-07-01,2705
E12000007,London,region,2021-06-30,2598
E12000007,London,region,2021-06-29,2069
E12000007,London,region,2021-06-28,2306
E12000007,London,region,2021-06-27,1493
E12000007,London,region,2021-06-26,1993
E12000007,London,region,2021-06-25,1699
E12000007,London,region,2021-06-24,1731
E12000007,London,region,2021-06-23,1609
E12000007,London,region,2021-06-22,1066
E12000007,London,region,2021-06-21,1023
E12000007,London,region,2021-06-20,886
E12000007,London,region,2021-06-19,1172
E12000007,London,region,2021-06-18,1200
E12000007,London,region,2021-06-17,1225
E12000007,London,region,2021-06-16,1168
E12000007,London,region,2021-06-15,813
E12000007,London,region,2021-06-14,778
E12000007,London,region,2021-06-13,932
E12000007,London,region,2021-06-12,962
E12000007,London,region,2021-06-11,948
E12000007,London,region,2021-06-10,1058
E12000007,London,region,2021-06-09,994
E12000007,London,region,2021-06-08,773
E12000007,London,region,2021-06-07,601
E12000007,London,region,2021-06-06,635
E12000007,London,region,2021-06-05,702
E12000007,London,region,2021-06-04,820
E12000007,London,region,2021-06-03,669
E12000007,London,region,2021-06-02,573
E12000007,London,region,2021-06-01,384
E12000007,London,region,2021-05-31,381
E12000007,London,region,2021-05-30,355
E12000007,London,region,2021-05-29,485
E12000007,London,region,2021-05-28,495
E12000007,London,region,2021-05-27,403
E12000007,London,region,2021-05-26,323
E12000007,London,region,2021-05-25,295
E12000007,London,region,2021-05-24,310
E12000007,London,region,2021-05-23,233
E12000007,London,region,2021-05-22,309
E12000007,London,region,2021-05-21,355
E12000007,London,region,2021-05-20,306
E12000007,London,region,2021-05-19,262
E12000007,London,region,2021-05-18,0
E12000007,London,region,2021-05-17,212
E12000007,London,region,2021-05-16,217
E12000007,London,region,2021-05-15,252
E12000007,London,region,2021-05-14,287
E12000007,London,region,2021-05-13,299
E12000007,London,region,2021-05-12,277
E12000007,London,region,2021-05-11,352
E12000007,London,region,2021-05-10,273
E12000007,London,region,2021-05-09,238
E12000007,London,region,2021-05-08,253
E12000007,London,region,2021-05-07,333
E12000007,London,region,2021-05-06,252
E12000007,London,region,2021-05-05,278
E12000007,London,region,2021-05-04,216
E12000007,London,region,2021-05-03,193
E12000007,London,region,2021-05-02,216
E12000007,London,region,2021-05-01,201
E12000007,London,region,2021-04-30,310
E12000007,London,region,2021-04-29,307
E12000007,London,region,2021-04-28,257
E12000007,London,region,2021-04-27,401
E12000007,London,region,2021-04-26,263
E12000007,London,region,2021-04-25,187
E12000007,London,region,2021-04-24,251
E12000007,London,region,2021-04-23,391
E12000007,London,region,2021-04-22,376
E12000007,London,region,2021-04-21,296
E12000007,London,region,2021-04-20,406
E12000007,London,region,2021-04-19,378
E12000007,London,region,2021-04-18,205
E12000007,London,region,2021-04-17,357
E12000007,London,region,2021-04-16,380
E12000007,London,region,2021-04-15,315
E12000007,London,region,2021-04-14,341
E12000007,London,region,2021-04-13,274
E12000007,London,region,2021-04-12,422
E12000007,London,region,2021-04-11,171
E12000007,London,region,2021-04-10,247
E12000007,London,region,2021-04-09,0
E12000007,London,region,2021-04-08,291
E12000007,London,region,2021-04-07,317
E12000007,London,region,2021-04-06,194
E12000007,London,region,2021-04-05,208
E12000007,London,region,2021-04-04,237
E12000007,London,region,2021-04-03,350
E12000007,London,region,2021-04-02,286
E12000007,London,region,2021-04-01,393
E12000007,London,region,2021-03-31,402
E12000007,London,region,2021-03-30,468
E12000007,London,region,2021-03-29,386
