DATE,MDSTHPI
1975-01-01,61.88
1975-04-01,62.27
1975-07-01,65.12
1975-10-01,66.67
1976-01-01,67.0
1976-04-01,69.78
1976-07-01,70.56
1976-10-01,71.69
1977-01-01,72.1
1977-04-01,73.49
1977-07-01,76.66
1977-10-01,77.13
1978-01-01,81.86
1978-04-01,83.42
1978-07-01,85.67
1978-10-01,88.31
1979-01-01,91.09
1979-04-01,94.78
1979-07-01,96.83
1979-10-01,98.05
1980-01-01,100.00
1980-04-01,103.1
1980-07-01,104.93
1980-10-01,107.61
1981-01-01,110.59
1981-04-01,112.86
1981-07-01,111.33
1981-10-01,114.27
1982-01-01,106.7
1982-04-01,108.42
1982-07-01,106.77
1982-10-01,110.93
1983-01-01,113.5
1983-04-01,115.45
1983-07-01,116.66
1983-10-01,118.08
1984-01-01,118.79
1984-04-01,122.77
1984-07-01,124.2
1984-10-01,124.67
1985-01-01,126.68
1985-04-01,128.55
1985-07-01,130.8
1985-10-01,131.06
1986-01-01,133.71
1986-04-01,137.56
1986-07-01,141.01
1986-10-01,144.79
1987-01-01,148.91
1987-04-01,153.22
1987-07-01,160.11
1987-10-01,162.45
1988-01-01,167.91
1988-04-01,173.81
1988-07-01,179.48
1988-10-01,183.66
1989-01-01,188.29
1989-04-01,193.0
1989-07-01,196.55
1989-10-01,199.79
1990-01-01,202.19
1990-04-01,202.83
1990-07-01,203.83
1990-10-01,202.62
1991-01-01,204.01
1991-04-01,206.16
1991-07-01,205.55
1991-10-01,209.62
1992-01-01,210.37
1992-04-01,209.01
1992-07-01,210.98
1992-10-01,211.67
1993-01-01,211.1
1993-04-01,211.78
1993-07-01,212.45
1993-10-01,213.3
1994-01-01,213.71
1994-04-01,211.66
1994-07-01,209.69
1994-10-01,207.89
1995-01-01,207.92
1995-04-01,210.72
1995-07-01,213.1
1995-10-01,214.7
1996-01-01,217.29
1996-04-01,214.88
1996-07-01,213.13
1996-10-01,215.68
1997-01-01,216.45
1997-04-01,215.4
1997-07-01,217.25
1997-10-01,219.77
1998-01-01,222.53
1998-04-01,222.3
1998-07-01,223.59
1998-10-01,225.81
1999-01-01,228.27
1999-04-01,229.16
1999-07-01,231.21
1999-10-01,233.77
2000-01-01,238.23
2000-04-01,240.79
2000-07-01,245.23
2000-10-01,249.06
2001-01-01,254.78
2001-04-01,259.76
2001-07-01,266.63
2001-10-01,270.95
2002-01-01,277.71
2002-04-01,286.85
2002-07-01,295.77
2002-10-01,301.81
2003-01-01,307.58
2003-04-01,314.24
2003-07-01,323.8
2003-10-01,341.33
2004-01-01,350.84
2004-04-01,367.29
2004-07-01,394.31
2004-10-01,407.82
2005-01-01,426.0
2005-04-01,451.79
2005-07-01,475.2
2005-10-01,494.35
2006-01-01,507.93
2006-04-01,518.38
2006-07-01,525.38
2006-10-01,532.2
2007-01-01,533.89
2007-04-01,534.92
2007-07-01,527.2
2007-10-01,524.29
2008-01-01,516.22
2008-04-01,498.41
2008-07-01,478.2
2008-10-01,470.96
2009-01-01,466.37
2009-04-01,448.23
2009-07-01,437.07
2009-10-01,429.47
2010-01-01,426.19
2010-04-01,420.91
2010-07-01,426.35
2010-10-01,422.27
2011-01-01,409.55
2011-04-01,401.46
2011-07-01,407.53
2011-10-01,409.36
2012-01-01,403.5
2012-04-01,399.54
2012-07-01,404.96
2012-10-01,406.47
2013-01-01,406.52
2013-04-01,410.29
2013-07-01,411.99
2013-10-01,412.51
2014-01-01,413.83
2014-04-01,420.47
2014-07-01,423.19
2014-10-01,426.96
2015-01-01,429.39
2015-04-01,432.27
2015-07-01,432.4
2015-10-01,433.42
2016-01-01,437.4
2016-04-01,442.02
2016-07-01,447.71
2016-10-01,449.2
2017-01-01,447.22
2017-04-01,455.51
2017-07-01,459.13
2017-10-01,461.84
2018-01-01,464.62
2018-04-01,468.94
2018-07-01,469.8
2018-10-01,467.88
2019-01-01,472.76
2019-04-01,480.61
2019-07-01,485.56
2019-10-01,487.29
2020-01-01,492.52
2020-04-01,497.04
2020-07-01,503.55
2020-10-01,512.94
2021-01-01,523.99
2021-04-01,548.53
2021-07-01,570.7
