date,price
01-02-2017,4.6117568
01-03-2017,4.3828831
01-04-2017,4.6013503
01-05-2017,4.7437749
01-06-2017,4.7578139
01-07-2017,4.7505646
01-08-2017,4.754395
01-09-2017,4.7207437
01-10-2017,4.6535745
01-11-2017,4.3802824
01-12-2017,4.31036
01-01-2018,4.2720985
01-02-2018,4.5939054
01-03-2018,4.656466
01-04-2018,4.7668676
01-05-2018,4.7889557
01-06-2018,4.7999187
01-07-2018,4.8067999
01-08-2018,4.7935457
01-09-2018,4.7736249
01-10-2018,4.5678101
01-11-2018,4.2704473
01-12-2018,4.1699176
01-01-2019,4.2099166
01-02-2019,4.3568201
01-03-2019,4.8011932
01-04-2019,4.8168421
01-05-2019,4.8573332
01-06-2019,4.8814344
01-07-2019,4.7266803
01-08-2019,4.920476
01-09-2019,4.8992186
01-10-2019,4.529407
01-11-2019,4.59373
01-12-2019,4.4596
01-01-2020,4.2098656
01-02-2020,4.5841594
01-03-2020,5.1662011
01-04-2020,5.1176648
01-05-2020,4.767879
01-06-2020,5.1332502
01-07-2020,5.1066666
01-08-2020,5.0152631
01-09-2020,5.0744257
01-10-2020,4.8699999
01-11-2020,4.9991164
01-12-2020,4.6346011
01-01-2021,4.7504225
01-02-2021,4.8877993
01-03-2021,5.075634
01-04-2021,5.3033175
01-05-2021,5.3314953
01-06-2021,5.2128572
01-07-2021,5.2346282
01-08-2021,5.2748117
01-09-2021,4.9879341
