date,price,cumcasesbyspecimendate
01-02-2017,4.6117568,0
01-03-2017,4.3828831,0
01-04-2017,4.6013503,0
01-05-2017,4.7437749,0
01-06-2017,4.7578139,0
01-07-2017,4.7505646,0
01-08-2017,4.754395,0
01-09-2017,4.7207437,0
01-10-2017,4.6535745,0
01-11-2017,4.3802824,0
01-12-2017,4.31036,0
01-01-2018,4.2720985,0
01-02-2018,4.5939054,0
01-03-2018,4.656466,0
01-04-2018,4.7668676,0
01-05-2018,4.7889557,0
01-06-2018,4.7999187,0
01-07-2018,4.8067999,0
01-08-2018,4.7935457,0
01-09-2018,4.7736249,0
01-10-2018,4.5678101,0
01-11-2018,4.2704473,0
01-12-2018,4.1699176,0
01-01-2019,4.2099166,0
01-02-2019,4.3568201,0
01-03-2019,4.8011932,0
01-04-2019,4.8168421,0
01-05-2019,4.8573332,0
01-06-2019,4.8814344,0
01-07-2019,4.7266803,0
01-08-2019,4.920476,0
01-09-2019,4.8992186,0
01-10-2019,4.529407,0
01-11-2019,4.59373,0
01-12-2019,4.4596,0
01-01-2020,4.2098656,0
30-01-2020,4.4349999,2
31-01-2020,4.5009999,2
01-02-2020,4.5841594,2
02-02-2020,4.5599999,2
03-02-2020,4.5700002,2
04-02-2020,4.5799999,2
05-02-2020,4.5900002,3
06-02-2020,4.5999999,3
07-02-2020,4.6100001,3
08-02-2020,4.6199999,7
09-02-2020,4.6300001,8
10-02-2020,4.6399999,8
11-02-2020,4.6500001,9
12-02-2020,4.6599998,9
13-02-2020,4.6700001,9
14-02-2020,4.6799998,9
15-02-2020,4.6900001,9
16-02-2020,4.6999998,9
17-02-2020,4.71,9
18-02-2020,4.7199998,9
19-02-2020,4.7399998,9
20-02-2020,4.5999999,9
21-02-2020,4.8000002,10
22-02-2020,4.9000001,10
23-02-2020,5,11
24-02-2020,4.8000002,13
25-02-2020,5,18
26-02-2020,5.0900002,22
27-02-2020,5.0999999,30
28-02-2020,5.1139998,42
29-02-2020,5.1300001,47
01-03-2020,5.1662011,69
02-03-2020,,108
03-03-2020,,165
04-03-2020,,221
05-03-2020,,271
06-03-2020,,352
07-03-2020,,420
08-03-2020,,477
09-03-2020,,624
10-03-2020,,890
11-03-2020,,1292
12-03-2020,,1774
13-03-2020,,2254
14-03-2020,,2616
15-03-2020,,3057
16-03-2020,,3659
17-03-2020,,4447
18-03-2020,,5437
19-03-2020,,6487
20-03-2020,,7744
21-03-2020,,8936
22-03-2020,,10309
23-03-2020,,12632
24-03-2020,,15004
25-03-2020,,17692
26-03-2020,,20774
27-03-2020,,23957
28-03-2020,,26773
29-03-2020,,29627
30-03-2020,,33885
31-03-2020,,38399
01-04-2020,5.1176648,43334
02-04-2020,,48186
03-04-2020,,53079
04-04-2020,,57080
05-04-2020,,60663
06-04-2020,,65922
07-04-2020,,71351
08-04-2020,,76466
09-04-2020,,81316
10-04-2020,,85627
11-04-2020,,89183
12-04-2020,,92662
13-04-2020,,96825
14-04-2020,,101122
15-04-2020,,106160
16-04-2020,,111433
17-04-2020,,116366
18-04-2020,,121068
19-04-2020,,124920
20-04-2020,,129330
21-04-2020,,134093
22-04-2020,,139575
23-04-2020,,144715
24-04-2020,,149662
25-04-2020,,153404
26-04-2020,,156873
27-04-2020,,161573
28-04-2020,,166287
29-04-2020,,171709
30-04-2020,,176669
01-05-2020,4.767879,181401
02-05-2020,,184633
03-05-2020,,187616
04-05-2020,,191003
05-05-2020,,194669
06-05-2020,,198485
07-05-2020,,202255
08-05-2020,,205320
09-05-2020,,207484
10-05-2020,,209807
11-05-2020,,213382
12-05-2020,,216766
13-05-2020,,220076
14-05-2020,,222697
15-05-2020,,225220
16-05-2020,,227297
17-05-2020,,229131
18-05-2020,,231707
19-05-2020,,234755
20-05-2020,,237457
21-05-2020,,240021
22-05-2020,,242073
23-05-2020,,243599
24-05-2020,,244962
25-05-2020,,246578
26-05-2020,,248634
27-05-2020,,250460
28-05-2020,,252215
29-05-2020,,253743
30-05-2020,,254861
31-05-2020,,255943
01-06-2020,5.1332502,257380
02-06-2020,,258865
03-06-2020,,260225
04-06-2020,,261475
05-06-2020,,262599
06-06-2020,,263405
07-06-2020,,264127
08-06-2020,,265222
09-06-2020,,266375
10-06-2020,,267567
11-06-2020,,268577
12-06-2020,,269636
13-06-2020,,270523
14-06-2020,,271342
15-06-2020,,272384
16-06-2020,,273489
17-06-2020,,274501
18-06-2020,,275527
19-06-2020,,276522
20-06-2020,,277208
