areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-11-08,10787,9366676
overview,United Kingdom,K02000001,2021-11-07,27370,9355889
overview,United Kingdom,K02000001,2021-11-06,25603,9328519
overview,United Kingdom,K02000001,2021-11-05,29388,9302916
overview,United Kingdom,K02000001,2021-11-04,32132,9273528
overview,United Kingdom,K02000001,2021-11-03,34899,9241396
overview,United Kingdom,K02000001,2021-11-02,37011,9206497
overview,United Kingdom,K02000001,2021-11-01,44102,9169486
overview,United Kingdom,K02000001,2021-10-31,34005,9125384
overview,United Kingdom,K02000001,2021-10-30,32908,9091379
overview,United Kingdom,K02000001,2021-10-29,39462,9058471
overview,United Kingdom,K02000001,2021-10-28,40529,9019009
overview,United Kingdom,K02000001,2021-10-27,42122,8978480
overview,United Kingdom,K02000001,2021-10-26,41311,8936358
overview,United Kingdom,K02000001,2021-10-25,46560,8895047
overview,United Kingdom,K02000001,2021-10-24,35091,8848487
overview,United Kingdom,K02000001,2021-10-23,34501,8813396
overview,United Kingdom,K02000001,2021-10-22,39930,8778895
overview,United Kingdom,K02000001,2021-10-21,44371,8738965
overview,United Kingdom,K02000001,2021-10-20,50789,8694594
overview,United Kingdom,K02000001,2021-10-19,51550,8643805
overview,United Kingdom,K02000001,2021-10-18,56687,8592255
overview,United Kingdom,K02000001,2021-10-17,42983,8535568
overview,United Kingdom,K02000001,2021-10-16,37259,8492585
overview,United Kingdom,K02000001,2021-10-15,42857,8455326
overview,United Kingdom,K02000001,2021-10-14,45626,8412469
overview,United Kingdom,K02000001,2021-10-13,46970,8366843
overview,United Kingdom,K02000001,2021-10-12,47474,8319873
overview,United Kingdom,K02000001,2021-10-11,49420,8272399
overview,United Kingdom,K02000001,2021-10-10,35801,8222979
overview,United Kingdom,K02000001,2021-10-09,31684,8187178
overview,United Kingdom,K02000001,2021-10-08,34982,8155494
overview,United Kingdom,K02000001,2021-10-07,37865,8120512
overview,United Kingdom,K02000001,2021-10-06,38591,8082647
overview,United Kingdom,K02000001,2021-10-05,38599,8044056
overview,United Kingdom,K02000001,2021-10-04,43040,8005457
overview,United Kingdom,K02000001,2021-10-03,31493,7962417
overview,United Kingdom,K02000001,2021-10-02,25903,7930924
overview,United Kingdom,K02000001,2021-10-01,28628,7905021
overview,United Kingdom,K02000001,2021-09-30,32011,7876393
overview,United Kingdom,K02000001,2021-09-29,34297,7844382
overview,United Kingdom,K02000001,2021-09-28,35929,7810085
overview,United Kingdom,K02000001,2021-09-27,40919,7774156
overview,United Kingdom,K02000001,2021-09-26,31525,7733237
overview,United Kingdom,K02000001,2021-09-25,27858,7701712
overview,United Kingdom,K02000001,2021-09-24,31604,7673854
overview,United Kingdom,K02000001,2021-09-23,35218,7642250
overview,United Kingdom,K02000001,2021-09-22,36160,7607032
overview,United Kingdom,K02000001,2021-09-21,38261,7570872
overview,United Kingdom,K02000001,2021-09-20,40116,7532611
overview,United Kingdom,K02000001,2021-09-19,30545,7492495
overview,United Kingdom,K02000001,2021-09-18,26307,7461950
overview,United Kingdom,K02000001,2021-09-17,29064,7435643
overview,United Kingdom,K02000001,2021-09-16,29175,7406579
overview,United Kingdom,K02000001,2021-09-15,29942,7377404
overview,United Kingdom,K02000001,2021-09-14,30941,7347462
overview,United Kingdom,K02000001,2021-09-13,34121,7316521
overview,United Kingdom,K02000001,2021-09-12,23669,7282400
overview,United Kingdom,K02000001,2021-09-11,23209,7258731
overview,United Kingdom,K02000001,2021-09-10,28731,7235522
overview,United Kingdom,K02000001,2021-09-09,33406,7206791
overview,United Kingdom,K02000001,2021-09-08,35234,7173385
overview,United Kingdom,K02000001,2021-09-07,38022,7138151
overview,United Kingdom,K02000001,2021-09-06,44142,7100129
overview,United Kingdom,K02000001,2021-09-05,31252,7055987
overview,United Kingdom,K02000001,2021-09-04,31361,7024735
overview,United Kingdom,K02000001,2021-09-03,38027,6993374
overview,United Kingdom,K02000001,2021-09-02,41629,6955347
overview,United Kingdom,K02000001,2021-09-01,42835,6913718
overview,United Kingdom,K02000001,2021-08-31,44475,6870883
overview,United Kingdom,K02000001,2021-08-30,34174,6826408
overview,United Kingdom,K02000001,2021-08-29,25694,6792234
overview,United Kingdom,K02000001,2021-08-28,27171,6766540
overview,United Kingdom,K02000001,2021-08-27,33177,6739369
overview,United Kingdom,K02000001,2021-08-26,36987,6706192
overview,United Kingdom,K02000001,2021-08-25,38098,6669205
overview,United Kingdom,K02000001,2021-08-24,37026,6631107
overview,United Kingdom,K02000001,2021-08-23,39048,6594081
overview,United Kingdom,K02000001,2021-08-22,28294,6555033
overview,United Kingdom,K02000001,2021-08-21,28093,6526739
overview,United Kingdom,K02000001,2021-08-20,31675,6498646
overview,United Kingdom,K02000001,2021-08-19,35827,6466971
overview,United Kingdom,K02000001,2021-08-18,38010,6431144
overview,United Kingdom,K02000001,2021-08-17,37192,6393134
overview,United Kingdom,K02000001,2021-08-16,36189,6355942
overview,United Kingdom,K02000001,2021-08-15,24921,6319753
overview,United Kingdom,K02000001,2021-08-14,24646,6294832
overview,United Kingdom,K02000001,2021-08-13,28440,6270186
overview,United Kingdom,K02000001,2021-08-12,31128,6241746
overview,United Kingdom,K02000001,2021-08-11,32734,6210618
overview,United Kingdom,K02000001,2021-08-10,30918,6177884
overview,United Kingdom,K02000001,2021-08-09,31530,6146966
overview,United Kingdom,K02000001,2021-08-08,22417,6115436
overview,United Kingdom,K02000001,2021-08-07,22118,6093019
overview,United Kingdom,K02000001,2021-08-06,27537,6070901
overview,United Kingdom,K02000001,2021-08-05,31078,6043364
overview,United Kingdom,K02000001,2021-08-04,31729,6012286
overview,United Kingdom,K02000001,2021-08-03,29815,5980557
overview,United Kingdom,K02000001,2021-08-02,29275,5950742
overview,United Kingdom,K02000001,2021-08-01,20516,5921467
overview,United Kingdom,K02000001,2021-07-31,20152,5900951
overview,United Kingdom,K02000001,2021-07-30,24283,5880799
overview,United Kingdom,K02000001,2021-07-29,27907,5856516
overview,United Kingdom,K02000001,2021-07-28,29659,5828609
overview,United Kingdom,K02000001,2021-07-27,29045,5798950
overview,United Kingdom,K02000001,2021-07-26,29393,5769905
overview,United Kingdom,K02000001,2021-07-25,21773,5740512
overview,United Kingdom,K02000001,2021-07-24,22483,5718739
overview,United Kingdom,K02000001,2021-07-23,27278,5696256
overview,United Kingdom,K02000001,2021-07-22,30744,5668978
overview,United Kingdom,K02000001,2021-07-21,34933,5638234
overview,United Kingdom,K02000001,2021-07-20,39065,5603301
overview,United Kingdom,K02000001,2021-07-19,46899,5564236
overview,United Kingdom,K02000001,2021-07-18,35504,5517337
overview,United Kingdom,K02000001,2021-07-17,37851,5481833
overview,United Kingdom,K02000001,2021-07-16,54238,5443982
overview,United Kingdom,K02000001,2021-07-15,60761,5389744
overview,United Kingdom,K02000001,2021-07-14,53821,5328983
overview,United Kingdom,K02000001,2021-07-13,46731,5275162
overview,United Kingdom,K02000001,2021-07-12,43654,5228431
overview,United Kingdom,K02000001,2021-07-11,30030,5184777
overview,United Kingdom,K02000001,2021-07-10,27881,5154747
overview,United Kingdom,K02000001,2021-07-09,32221,5126866
overview,United Kingdom,K02000001,2021-07-08,33354,5094645
overview,United Kingdom,K02000001,2021-07-07,37819,5061291
overview,United Kingdom,K02000001,2021-07-06,35369,5023472
overview,United Kingdom,K02000001,2021-07-05,34194,4988103
overview,United Kingdom,K02000001,2021-07-04,24674,4953909
overview,United Kingdom,K02000001,2021-07-03,23565,4929235
overview,United Kingdom,K02000001,2021-07-02,25783,4905670
overview,United Kingdom,K02000001,2021-07-01,28117,4879887
overview,United Kingdom,K02000001,2021-06-30,28328,4851770
overview,United Kingdom,K02000001,2021-06-29,27599,4823442
overview,United Kingdom,K02000001,2021-06-28,27748,4795843
overview,United Kingdom,K02000001,2021-06-27,18129,4768095
overview,United Kingdom,K02000001,2021-06-26,15972,4749966
overview,United Kingdom,K02000001,2021-06-25,17779,4733994
overview,United Kingdom,K02000001,2021-06-24,18297,4716215
overview,United Kingdom,K02000001,2021-06-23,17905,4697918
overview,United Kingdom,K02000001,2021-06-22,17005,4680013
overview,United Kingdom,K02000001,2021-06-21,15955,4663008
overview,United Kingdom,K02000001,2021-06-20,9873,4647053
overview,United Kingdom,K02000001,2021-06-19,8255,4637180
overview,United Kingdom,K02000001,2021-06-18,10054,4628925
overview,United Kingdom,K02000001,2021-06-17,10774,4618871
overview,United Kingdom,K02000001,2021-06-16,10772,4608097
overview,United Kingdom,K02000001,2021-06-15,10501,4597325
overview,United Kingdom,K02000001,2021-06-14,10106,4586824
overview,United Kingdom,K02000001,2021-06-13,6954,4576718
overview,United Kingdom,K02000001,2021-06-12,6116,4569764
overview,United Kingdom,K02000001,2021-06-11,7441,4563648
overview,United Kingdom,K02000001,2021-06-10,7834,4556207
overview,United Kingdom,K02000001,2021-06-09,8002,4548373
overview,United Kingdom,K02000001,2021-06-08,7675,4540371
overview,United Kingdom,K02000001,2021-06-07,7741,4532696
overview,United Kingdom,K02000001,2021-06-06,5405,4524955
overview,United Kingdom,K02000001,2021-06-05,4623,4519550
overview,United Kingdom,K02000001,2021-06-04,5707,4514927
overview,United Kingdom,K02000001,2021-06-03,6097,4509220
overview,United Kingdom,K02000001,2021-06-02,6050,4503123
overview,United Kingdom,K02000001,2021-06-01,5235,4497073
overview,United Kingdom,K02000001,2021-05-31,3781,4491838
overview,United Kingdom,K02000001,2021-05-30,3093,4488057
overview,United Kingdom,K02000001,2021-05-29,2931,4484964
overview,United Kingdom,K02000001,2021-05-28,3490,4482033
overview,United Kingdom,K02000001,2021-05-27,3639,4478543
overview,United Kingdom,K02000001,2021-05-26,3800,4474904
overview,United Kingdom,K02000001,2021-05-25,3307,4471104
overview,United Kingdom,K02000001,2021-05-24,3238,4467797
overview,United Kingdom,K02000001,2021-05-23,2243,4464559
overview,United Kingdom,K02000001,2021-05-22,1928,4462316
overview,United Kingdom,K02000001,2021-05-21,2293,4460388
overview,United Kingdom,K02000001,2021-05-20,2425,4458095
overview,United Kingdom,K02000001,2021-05-19,2712,4455670
overview,United Kingdom,K02000001,2021-05-18,2708,4452958
overview,United Kingdom,K02000001,2021-05-17,2764,4450250
overview,United Kingdom,K02000001,2021-05-16,1853,4447486
overview,United Kingdom,K02000001,2021-05-15,1582,4445633
overview,United Kingdom,K02000001,2021-05-14,1850,4444051
overview,United Kingdom,K02000001,2021-05-13,2097,4442201
overview,United Kingdom,K02000001,2021-05-12,2231,4440104
overview,United Kingdom,K02000001,2021-05-11,2201,4437873
overview,United Kingdom,K02000001,2021-05-10,2657,4435672
overview,United Kingdom,K02000001,2021-05-09,2172,4433015
overview,United Kingdom,K02000001,2021-05-08,1512,4430843
overview,United Kingdom,K02000001,2021-05-07,1883,4429331
overview,United Kingdom,K02000001,2021-05-06,2166,4427448
overview,United Kingdom,K02000001,2021-05-05,2398,4425282
overview,United Kingdom,K02000001,2021-05-04,2405,4422884
overview,United Kingdom,K02000001,2021-05-03,1974,4420479
overview,United Kingdom,K02000001,2021-05-02,1427,4418505
overview,United Kingdom,K02000001,2021-05-01,1356,4417078
overview,United Kingdom,K02000001,2021-04-30,1705,4415722
overview,United Kingdom,K02000001,2021-04-29,2084,4414017
overview,United Kingdom,K02000001,2021-04-28,2361,4411933
overview,United Kingdom,K02000001,2021-04-27,2057,4409572
overview,United Kingdom,K02000001,2021-04-26,2443,4407515
overview,United Kingdom,K02000001,2021-04-25,1991,4405072
overview,United Kingdom,K02000001,2021-04-24,1464,4403081
overview,United Kingdom,K02000001,2021-04-23,1893,4401617
overview,United Kingdom,K02000001,2021-04-22,2254,4399724
overview,United Kingdom,K02000001,2021-04-21,2544,4397470
overview,United Kingdom,K02000001,2021-04-20,2368,4394926
overview,United Kingdom,K02000001,2021-04-19,2602,4392558
overview,United Kingdom,K02000001,2021-04-18,2438,4389956
overview,United Kingdom,K02000001,2021-04-17,1637,4387518
overview,United Kingdom,K02000001,2021-04-16,2354,4385881
overview,United Kingdom,K02000001,2021-04-15,2190,4383527
overview,United Kingdom,K02000001,2021-04-14,2405,4381337
overview,United Kingdom,K02000001,2021-04-13,2333,4378932
overview,United Kingdom,K02000001,2021-04-12,2714,4376599
overview,United Kingdom,K02000001,2021-04-11,2260,4373885
overview,United Kingdom,K02000001,2021-04-10,2259,4371625
overview,United Kingdom,K02000001,2021-04-09,2783,4369366
overview,United Kingdom,K02000001,2021-04-08,2982,4366583
overview,United Kingdom,K02000001,2021-04-07,3084,4363601
overview,United Kingdom,K02000001,2021-04-06,3117,4360517
overview,United Kingdom,K02000001,2021-04-05,2617,4357400
overview,United Kingdom,K02000001,2021-04-04,2292,4354783
overview,United Kingdom,K02000001,2021-04-03,2403,4352491
overview,United Kingdom,K02000001,2021-04-02,2625,4350088
overview,United Kingdom,K02000001,2021-04-01,3469,4347463
overview,United Kingdom,K02000001,2021-03-31,3768,4343994
overview,United Kingdom,K02000001,2021-03-30,3595,4340226
overview,United Kingdom,K02000001,2021-03-29,3967,4336631
overview,United Kingdom,K02000001,2021-03-28,4658,4332664
overview,United Kingdom,K02000001,2021-03-27,3539,4328006
overview,United Kingdom,K02000001,2021-03-26,4392,4324467
overview,United Kingdom,K02000001,2021-03-25,5404,4320075
