,DATE,State,Value
0,1975-01-01,MD,61.88
1,1975-04-01,MD,62.27
2,1975-07-01,MD,65.12
3,1975-10-01,MD,66.67
4,1976-01-01,MD,67.0
5,1976-04-01,MD,69.78
6,1976-07-01,MD,70.56
7,1976-10-01,MD,71.69
8,1977-01-01,MD,72.1
9,1977-04-01,MD,73.49
10,1977-07-01,MD,76.66
11,1977-10-01,MD,77.13
12,1978-01-01,MD,81.86
13,1978-04-01,MD,83.42
14,1978-07-01,MD,85.67
15,1978-10-01,MD,88.31
16,1979-01-01,MD,91.09
17,1979-04-01,MD,94.78
18,1979-07-01,MD,96.83
19,1979-10-01,MD,98.05
20,1980-01-01,MD,100.0
21,1980-04-01,MD,103.1
22,1980-07-01,MD,104.93
23,1980-10-01,MD,107.61
24,1981-01-01,MD,110.59
25,1981-04-01,MD,112.86
26,1981-07-01,MD,111.33
27,1981-10-01,MD,114.27
28,1982-01-01,MD,106.7
29,1982-04-01,MD,108.42
30,1982-07-01,MD,106.77
31,1982-10-01,MD,110.93
32,1983-01-01,MD,113.5
33,1983-04-01,MD,115.45
34,1983-07-01,MD,116.66
35,1983-10-01,MD,118.08
36,1984-01-01,MD,118.79
37,1984-04-01,MD,122.77
38,1984-07-01,MD,124.2
39,1984-10-01,MD,124.67
40,1985-01-01,MD,126.68
41,1985-04-01,MD,128.55
42,1985-07-01,MD,130.8
43,1985-10-01,MD,131.06
44,1986-01-01,MD,133.71
45,1986-04-01,MD,137.56
46,1986-07-01,MD,141.01
47,1986-10-01,MD,144.79
48,1987-01-01,MD,148.91
49,1987-04-01,MD,153.22
50,1987-07-01,MD,160.11
51,1987-10-01,MD,162.45
52,1988-01-01,MD,167.91
53,1988-04-01,MD,173.81
54,1988-07-01,MD,179.48
55,1988-10-01,MD,183.66
56,1989-01-01,MD,188.29
57,1989-04-01,MD,193.0
58,1989-07-01,MD,196.55
59,1989-10-01,MD,199.79
60,1990-01-01,MD,202.19
61,1990-04-01,MD,202.83
62,1990-07-01,MD,203.83
63,1990-10-01,MD,202.62
64,1991-01-01,MD,204.01
65,1991-04-01,MD,206.16
66,1991-07-01,MD,205.55
67,1991-10-01,MD,209.62
68,1992-01-01,MD,210.37
69,1992-04-01,MD,209.01
70,1992-07-01,MD,210.98
71,1992-10-01,MD,211.67
72,1993-01-01,MD,211.1
73,1993-04-01,MD,211.78
74,1993-07-01,MD,212.45
75,1993-10-01,MD,213.3
76,1994-01-01,MD,213.71
77,1994-04-01,MD,211.66
78,1994-07-01,MD,209.69
79,1994-10-01,MD,207.89
80,1995-01-01,MD,207.92
81,1995-04-01,MD,210.72
82,1995-07-01,MD,213.1
83,1995-10-01,MD,214.7
84,1996-01-01,MD,217.29
85,1996-04-01,MD,214.88
86,1996-07-01,MD,213.13
87,1996-10-01,MD,215.68
88,1997-01-01,MD,216.45
89,1997-04-01,MD,215.4
90,1997-07-01,MD,217.25
91,1997-10-01,MD,219.77
92,1998-01-01,MD,222.53
93,1998-04-01,MD,222.3
94,1998-07-01,MD,223.59
95,1998-10-01,MD,225.81
96,1999-01-01,MD,228.27
97,1999-04-01,MD,229.16
98,1999-07-01,MD,231.21
99,1999-10-01,MD,233.77
100,2000-01-01,MD,238.23
101,2000-04-01,MD,240.79
102,2000-07-01,MD,245.23
103,2000-10-01,MD,249.06
104,2001-01-01,MD,254.78
105,2001-04-01,MD,259.76
106,2001-07-01,MD,266.63
107,2001-10-01,MD,270.95
108,2002-01-01,MD,277.71
109,2002-04-01,MD,286.85
110,2002-07-01,MD,295.77
111,2002-10-01,MD,301.81
112,2003-01-01,MD,307.58
113,2003-04-01,MD,314.24
114,2003-07-01,MD,323.8
115,2003-10-01,MD,341.33
116,2004-01-01,MD,350.84
117,2004-04-01,MD,367.29
118,2004-07-01,MD,394.31
119,2004-10-01,MD,407.82
120,2005-01-01,MD,426.0
121,2005-04-01,MD,451.79
122,2005-07-01,MD,475.2
123,2005-10-01,MD,494.35
124,2006-01-01,MD,507.93
125,2006-04-01,MD,518.38
126,2006-07-01,MD,525.38
127,2006-10-01,MD,532.2
128,2007-01-01,MD,533.89
129,2007-04-01,MD,534.92
130,2007-07-01,MD,527.2
131,2007-10-01,MD,524.29
132,2008-01-01,MD,516.22
133,2008-04-01,MD,498.41
134,2008-07-01,MD,478.2
135,2008-10-01,MD,470.96
136,2009-01-01,MD,466.37
137,2009-04-01,MD,448.23
138,2009-07-01,MD,437.07
139,2009-10-01,MD,429.47
140,2010-01-01,MD,426.19
141,2010-04-01,MD,420.91
142,2010-07-01,MD,426.35
143,2010-10-01,MD,422.27
144,2011-01-01,MD,409.55
145,2011-04-01,MD,401.46
146,2011-07-01,MD,407.53
147,2011-10-01,MD,409.36
148,2012-01-01,MD,403.5
149,2012-04-01,MD,399.54
150,2012-07-01,MD,404.96
151,2012-10-01,MD,406.47
152,2013-01-01,MD,406.52
153,2013-04-01,MD,410.29
154,2013-07-01,MD,411.99
155,2013-10-01,MD,412.51
156,2014-01-01,MD,413.83
157,2014-04-01,MD,420.47
158,2014-07-01,MD,423.19
159,2014-10-01,MD,426.96
160,2015-01-01,MD,429.39
161,2015-04-01,MD,432.27
162,2015-07-01,MD,432.4
163,2015-10-01,MD,433.42
164,2016-01-01,MD,437.4
165,2016-04-01,MD,442.02
166,2016-07-01,MD,447.71
167,2016-10-01,MD,449.2
168,2017-01-01,MD,447.22
169,2017-04-01,MD,455.51
170,2017-07-01,MD,459.13
171,2017-10-01,MD,461.84
172,2018-01-01,MD,464.62
173,2018-04-01,MD,468.94
174,2018-07-01,MD,469.8
175,2018-10-01,MD,467.88
176,2019-01-01,MD,472.76
177,2019-04-01,MD,480.61
178,2019-07-01,MD,485.56
179,2019-10-01,MD,487.29
180,2020-01-01,MD,492.52
181,2020-04-01,MD,497.04
182,2020-07-01,MD,503.55
183,2020-10-01,MD,512.94
184,2021-01-01,MD,523.99
185,2021-04-01,MD,548.53
186,2021-07-01,MD,570.7
187,1975-01-01,NY,78.43
188,1975-04-01,NY,75.78
189,1975-07-01,NY,77.46
190,1975-10-01,NY,79.92
191,1976-01-01,NY,73.26
192,1976-04-01,NY,75.01
193,1976-07-01,NY,75.66
194,1976-10-01,NY,73.99
195,1977-01-01,NY,77.78
196,1977-04-01,NY,82.95
197,1977-07-01,NY,82.38
198,1977-10-01,NY,84.68
199,1978-01-01,NY,83.37
200,1978-04-01,NY,87.77
201,1978-07-01,NY,83.99
202,1978-10-01,NY,84.03
203,1979-01-01,NY,96.35
204,1979-04-01,NY,95.97
205,1979-07-01,NY,94.81
206,1979-10-01,NY,98.16
207,1980-01-01,NY,100.0
208,1980-04-01,NY,107.16
209,1980-07-01,NY,115.04
210,1980-10-01,NY,111.31
211,1981-01-01,NY,112.24
212,1981-04-01,NY,108.41
213,1981-07-01,NY,115.63
214,1981-10-01,NY,114.33
215,1982-01-01,NY,123.4
216,1982-04-01,NY,125.24
217,1982-07-01,NY,122.47
218,1982-10-01,NY,126.5
219,1983-01-01,NY,128.81
220,1983-04-01,NY,132.86
221,1983-07-01,NY,138.31
222,1983-10-01,NY,147.21
223,1984-01-01,NY,150.73
224,1984-04-01,NY,156.6
225,1984-07-01,NY,162.2
226,1984-10-01,NY,169.2
227,1985-01-01,NY,176.29
228,1985-04-01,NY,184.64
229,1985-07-01,NY,191.24
230,1985-10-01,NY,198.8
231,1986-01-01,NY,206.65
232,1986-04-01,NY,217.26
233,1986-07-01,NY,227.14
234,1986-10-01,NY,237.28
235,1987-01-01,NY,246.72
236,1987-04-01,NY,255.4
237,1987-07-01,NY,267.06
238,1987-10-01,NY,270.91
