areaCode,areaName,areaType,date,age,rate,value
E12000007,London,region,2021-10-03,0_to_4,4157.9,12074
E12000007,London,region,2021-10-03,85_to_89,9054.2,5048
E12000007,London,region,2021-10-03,35_to_39,14030.1,52433
E12000007,London,region,2021-10-03,70_to_74,6130.2,9208
E12000007,London,region,2021-10-03,55_to_59,11344.9,29460
E12000007,London,region,2021-10-03,50_to_54,12636.9,36314
E12000007,London,region,2021-10-03,15_to_19,17056.9,39167
E12000007,London,region,2021-10-03,90+,12476.1,4766
E12000007,London,region,2021-10-03,75_to_79,6264.4,6811
E12000007,London,region,2021-10-03,80_to_84,7096.2,6056
E12000007,London,region,2021-10-03,60_to_64,9788.5,20325
E12000007,London,region,2021-10-03,65_to_69,7510.7,12549
E12000007,London,region,2021-10-03,20_to_24,21575.0,58797
E12000007,London,region,2021-10-03,25_to_29,18936.5,71182
E12000007,London,region,2021-10-03,30_to_34,15520.3,61781
E12000007,London,region,2021-10-03,5_to_9,5886.7,17398
E12000007,London,region,2021-10-03,10_to_14,11586.5,31057
E12000007,London,region,2021-10-03,40_to_44,14230.7,46821
E12000007,London,region,2021-10-03,45_to_49,13498.8,39861
E12000007,London,region,2021-10-02,25_to_29,18929.8,71157
E12000007,London,region,2021-10-02,85_to_89,9054.2,5048
E12000007,London,region,2021-10-02,75_to_79,6263.5,6810
E12000007,London,region,2021-10-02,30_to_34,15514.8,61759
E12000007,London,region,2021-10-02,40_to_44,14220.1,46786
E12000007,London,region,2021-10-02,90+,12476.1,4766
E12000007,London,region,2021-10-02,70_to_74,6127.5,9204
E12000007,London,region,2021-10-02,50_to_54,12627.8,36288
E12000007,London,region,2021-10-02,20_to_24,21568.4,58779
E12000007,London,region,2021-10-02,35_to_39,14021.5,52401
E12000007,London,region,2021-10-02,55_to_59,11341.0,29450
E12000007,London,region,2021-10-02,10_to_14,11548.5,30955
E12000007,London,region,2021-10-02,80_to_84,7096.2,6056
E12000007,London,region,2021-10-02,0_to_4,4156.2,12069
E12000007,London,region,2021-10-02,5_to_9,5879.9,17378
E12000007,London,region,2021-10-02,60_to_64,9782.2,20312
E12000007,London,region,2021-10-02,65_to_69,7507.7,12544
E12000007,London,region,2021-10-02,15_to_19,17037.3,39122
E12000007,London,region,2021-10-02,45_to_49,13486.0,39823
E12000007,London,region,2021-10-01,70_to_74,6117.5,9189
E12000007,London,region,2021-10-01,10_to_14,11486.9,30790
E12000007,London,region,2021-10-01,75_to_79,6257.9,6804
E12000007,London,region,2021-10-01,25_to_29,18917.0,71109
E12000007,London,region,2021-10-01,45_to_49,13463.6,39757
E12000007,London,region,2021-10-01,40_to_44,14196.4,46708
E12000007,London,region,2021-10-01,5_to_9,5865.0,17334
E12000007,London,region,2021-10-01,35_to_39,14012.4,52367
E12000007,London,region,2021-10-01,0_to_4,4152.8,12059
E12000007,London,region,2021-10-01,30_to_34,15504.7,61719
E12000007,London,region,2021-10-01,65_to_69,7500.0,12531
E12000007,London,region,2021-10-01,50_to_54,12612.5,36244
E12000007,London,region,2021-10-01,80_to_84,7093.8,6054
E12000007,London,region,2021-10-01,85_to_89,9052.4,5047
E12000007,London,region,2021-10-01,15_to_19,17006.4,39051
E12000007,London,region,2021-10-01,20_to_24,21554.4,58741
E12000007,London,region,2021-10-01,90+,12473.5,4765
E12000007,London,region,2021-10-01,55_to_59,11330.6,29423
E12000007,London,region,2021-10-01,60_to_64,9772.1,20291
E12000007,London,region,2021-09-30,75_to_79,6251.5,6797
E12000007,London,region,2021-09-30,0_to_4,4144.5,12035
E12000007,London,region,2021-09-30,35_to_39,13987.0,52272
E12000007,London,region,2021-09-30,20_to_24,21532.8,58682
E12000007,London,region,2021-09-30,5_to_9,5836.2,17249
E12000007,London,region,2021-09-30,55_to_59,11315.6,29384
E12000007,London,region,2021-09-30,30_to_34,15488.6,61655
E12000007,London,region,2021-09-30,60_to_64,9759.6,20265
E12000007,London,region,2021-09-30,80_to_84,7090.3,6051
E12000007,London,region,2021-09-30,40_to_44,14164.8,46604
E12000007,London,region,2021-09-30,70_to_74,6108.9,9176
E12000007,London,region,2021-09-30,85_to_89,9047.0,5044
E12000007,London,region,2021-09-30,25_to_29,18899.8,71044
E12000007,London,region,2021-09-30,65_to_69,7488.0,12511
E12000007,London,region,2021-09-30,45_to_49,13433.8,39669
E12000007,London,region,2021-09-30,50_to_54,12594.4,36192
E12000007,London,region,2021-09-30,10_to_14,11418.3,30606
E12000007,London,region,2021-09-30,15_to_19,16960.3,38945
E12000007,London,region,2021-09-30,90+,12460.4,4760
E12000007,London,region,2021-09-29,20_to_24,21503.1,58601
E12000007,London,region,2021-09-29,25_to_29,18878.2,70963
E12000007,London,region,2021-09-29,90+,12449.9,4756
E12000007,London,region,2021-09-29,75_to_79,6242.3,6787
E12000007,London,region,2021-09-29,60_to_64,9743.2,20231
E12000007,London,region,2021-09-29,70_to_74,6096.9,9158
E12000007,London,region,2021-09-29,85_to_89,9036.3,5038
E12000007,London,region,2021-09-29,30_to_34,15462.5,61551
E12000007,London,region,2021-09-29,80_to_84,7086.8,6048
E12000007,London,region,2021-09-29,50_to_54,12567.6,36115
E12000007,London,region,2021-09-29,40_to_44,14120.4,46458
E12000007,London,region,2021-09-29,35_to_39,13958.7,52166
E12000007,London,region,2021-09-29,65_to_69,7476.6,12492
E12000007,London,region,2021-09-29,5_to_9,5806.1,17160
E12000007,London,region,2021-09-29,15_to_19,16899.3,38805
E12000007,London,region,2021-09-29,0_to_4,4135.9,12010
E12000007,London,region,2021-09-29,10_to_14,11316.4,30333
E12000007,London,region,2021-09-29,55_to_59,11302.5,29350
E12000007,London,region,2021-09-29,45_to_49,13391.8,39545
E12000007,London,region,2021-09-28,55_to_59,11282.9,29299
E12000007,London,region,2021-09-28,5_to_9,5777.0,17074
E12000007,London,region,2021-09-28,25_to_29,18852.1,70865
E12000007,London,region,2021-09-28,60_to_64,9725.4,20194
E12000007,London,region,2021-09-28,45_to_49,13349.5,39420
E12000007,London,region,2021-09-28,10_to_14,11209.7,30047
E12000007,London,region,2021-09-28,65_to_69,7462.8,12469
E12000007,London,region,2021-09-28,75_to_79,6224.8,6768
E12000007,London,region,2021-09-28,40_to_44,14074.2,46306
E12000007,London,region,2021-09-28,35_to_39,13921.7,52028
E12000007,London,region,2021-09-28,70_to_74,6087.6,9144
E12000007,London,region,2021-09-28,15_to_19,16838.3,38665
E12000007,London,region,2021-09-28,50_to_54,12540.1,36036
E12000007,London,region,2021-09-28,0_to_4,4128.3,11988
E12000007,London,region,2021-09-28,30_to_34,15438.9,61457
E12000007,London,region,2021-09-28,20_to_24,21474.4,58523
E12000007,London,region,2021-09-28,85_to_89,9027.3,5033
E12000007,London,region,2021-09-28,80_to_84,7078.6,6041
E12000007,London,region,2021-09-28,90+,12434.2,4750
E12000007,London,region,2021-09-27,5_to_9,5736.1,16953
E12000007,London,region,2021-09-27,90+,12429.0,4748
E12000007,London,region,2021-09-27,20_to_24,21448.4,58452
E12000007,London,region,2021-09-27,70_to_74,6078.2,9130
E12000007,London,region,2021-09-27,80_to_84,7069.2,6033
E12000007,London,region,2021-09-27,0_to_4,4116.3,11953
E12000007,London,region,2021-09-27,65_to_69,7444.9,12439
E12000007,London,region,2021-09-27,10_to_14,11092.2,29732
E12000007,London,region,2021-09-27,55_to_59,11262.5,29246
E12000007,London,region,2021-09-27,15_to_19,16783.0,38538
E12000007,London,region,2021-09-27,85_to_89,9014.8,5026
E12000007,London,region,2021-09-27,50_to_54,12511.6,35954
E12000007,London,region,2021-09-27,35_to_39,13886.7,51897
E12000007,London,region,2021-09-27,60_to_64,9704.2,20150
E12000007,London,region,2021-09-27,75_to_79,6219.3,6762
E12000007,London,region,2021-09-27,45_to_49,13311.9,39309
E12000007,London,region,2021-09-27,30_to_34,15412.5,61352
E12000007,London,region,2021-09-27,40_to_44,14033.2,46171
E12000007,London,region,2021-09-27,25_to_29,18828.7,70777
E12000007,London,region,2021-09-26,60_to_64,9681.1,20102
E12000007,London,region,2021-09-26,65_to_69,7432.9,12419
E12000007,London,region,2021-09-26,50_to_54,12476.1,35852
E12000007,London,region,2021-09-26,35_to_39,13849.7,51759
E12000007,London,region,2021-09-26,45_to_49,13262.8,39164
E12000007,London,region,2021-09-26,90+,12405.4,4739
E12000007,London,region,2021-09-26,70_to_74,6062.9,9107
E12000007,London,region,2021-09-26,85_to_89,9005.8,5021
E12000007,London,region,2021-09-26,55_to_59,11234.3,29173
E12000007,London,region,2021-09-26,0_to_4,4104.6,11919
E12000007,London,region,2021-09-26,75_to_79,6210.1,6752
E12000007,London,region,2021-09-26,80_to_84,7052.8,6019
E12000007,London,region,2021-09-26,5_to_9,5681.9,16793
E12000007,London,region,2021-09-26,25_to_29,18804.8,70687
E12000007,London,region,2021-09-26,10_to_14,10931.8,29302
E12000007,London,region,2021-09-26,20_to_24,21422.0,58380
E12000007,London,region,2021-09-26,40_to_44,13981.2,46000
E12000007,London,region,2021-09-26,30_to_34,15384.6,61241
E12000007,London,region,2021-09-26,15_to_19,16699.4,38346
E12000007,London,region,2021-09-25,80_to_84,7046.9,6014
E12000007,London,region,2021-09-25,45_to_49,13225.2,39053
E12000007,London,region,2021-09-25,0_to_4,4098.7,11902
E12000007,London,region,2021-09-25,75_to_79,6204.6,6746
E12000007,London,region,2021-09-25,25_to_29,18785.6,70615
E12000007,London,region,2021-09-25,15_to_19,16635.8,38200
E12000007,London,region,2021-09-25,5_to_9,5647.8,16692
E12000007,London,region,2021-09-25,35_to_39,13825.9,51670
E12000007,London,region,2021-09-25,10_to_14,10818.0,28997
E12000007,London,region,2021-09-25,30_to_34,15361.3,61148
E12000007,London,region,2021-09-25,70_to_74,6047.6,9084
E12000007,London,region,2021-09-25,20_to_24,21397.0,58312
E12000007,London,region,2021-09-25,50_to_54,12447.9,35771
E12000007,London,region,2021-09-25,85_to_89,8995.0,5015
E12000007,London,region,2021-09-25,90+,12402.8,4738
E12000007,London,region,2021-09-25,55_to_59,11215.9,29125
E12000007,London,region,2021-09-25,60_to_64,9665.2,20069
E12000007,London,region,2021-09-25,40_to_44,13944.1,45878
E12000007,London,region,2021-09-25,65_to_69,7423.9,12404
E12000007,London,region,2021-09-24,70_to_74,6036.3,9067
E12000007,London,region,2021-09-24,80_to_84,7039.9,6008
E12000007,London,region,2021-09-24,15_to_19,16587.5,38089
E12000007,London,region,2021-09-24,25_to_29,18769.1,70553
E12000007,London,region,2021-09-24,30_to_34,15343.7,61078
E12000007,London,region,2021-09-24,75_to_79,6197.2,6738
E12000007,London,region,2021-09-24,90+,12392.3,4734
E12000007,London,region,2021-09-24,85_to_89,8982.5,5008
E12000007,London,region,2021-09-24,40_to_44,13912.8,45775
E12000007,London,region,2021-09-24,65_to_69,7410.8,12382
E12000007,London,region,2021-09-24,55_to_59,11197.4,29077
E12000007,London,region,2021-09-24,60_to_64,9646.4,20030
E12000007,London,region,2021-09-24,5_to_9,5616.0,16598
E12000007,London,region,2021-09-24,0_to_4,4089.4,11875
E12000007,London,region,2021-09-24,20_to_24,21376.5,58256
E12000007,London,region,2021-09-24,10_to_14,10719.9,28734
E12000007,London,region,2021-09-24,45_to_49,13198.5,38974
E12000007,London,region,2021-09-24,35_to_39,13801.3,51578
E12000007,London,region,2021-09-24,50_to_54,12424.6,35704
E12000007,London,region,2021-09-23,35_to_39,13772.1,51469
E12000007,London,region,2021-09-23,0_to_4,4081.1,11851
E12000007,London,region,2021-09-23,60_to_64,9630.0,19996
E12000007,London,region,2021-09-23,40_to_44,13874.8,45650
E12000007,London,region,2021-09-23,55_to_59,11182.4,29038
E12000007,London,region,2021-09-23,20_to_24,21350.8,58186
E12000007,London,region,2021-09-23,5_to_9,5582.5,16499
E12000007,London,region,2021-09-23,45_to_49,13167.6,38883
E12000007,London,region,2021-09-23,30_to_34,15321.6,60990
E12000007,London,region,2021-09-23,15_to_19,16534.3,37967
E12000007,London,region,2021-09-23,75_to_79,6183.4,6723
E12000007,London,region,2021-09-23,10_to_14,10621.4,28470
E12000007,London,region,2021-09-23,50_to_54,12397.5,35626
E12000007,London,region,2021-09-23,25_to_29,18747.1,70470
E12000007,London,region,2021-09-23,70_to_74,6027.6,9054
E12000007,London,region,2021-09-23,65_to_69,7400.0,12364
E12000007,London,region,2021-09-23,90+,12384.5,4731
E12000007,London,region,2021-09-23,80_to_84,7030.5,6000
E12000007,London,region,2021-09-23,85_to_89,8977.1,5005
E12000007,London,region,2021-09-22,80_to_84,7020.0,5991
E12000007,London,region,2021-09-22,70_to_74,6011.7,9030
E12000007,London,region,2021-09-22,90+,12371.4,4726
E12000007,London,region,2021-09-22,5_to_9,5539.2,16371
E12000007,London,region,2021-09-22,85_to_89,8966.3,4999
E12000007,London,region,2021-09-22,25_to_29,18720.2,70369
E12000007,London,region,2021-09-22,50_to_54,12362.0,35524
E12000007,London,region,2021-09-22,45_to_49,13129.4,38770
E12000007,London,region,2021-09-22,55_to_59,11163.1,28988
E12000007,London,region,2021-09-22,30_to_34,15295.5,60886
E12000007,London,region,2021-09-22,35_to_39,13737.4,51339
E12000007,London,region,2021-09-22,20_to_24,21329.1,58127
E12000007,London,region,2021-09-22,40_to_44,13840.2,45536
E12000007,London,region,2021-09-22,10_to_14,10513.9,28182
E12000007,London,region,2021-09-22,65_to_69,7384.4,12338
E12000007,London,region,2021-09-22,15_to_19,16477.3,37836
E12000007,London,region,2021-09-22,0_to_4,4072.5,11826
E12000007,London,region,2021-09-22,60_to_64,9611.3,19957
E12000007,London,region,2021-09-22,75_to_79,6168.7,6707
E12000007,London,region,2021-09-21,20_to_24,21303.4,58057
E12000007,London,region,2021-09-21,10_to_14,10387.8,27844
E12000007,London,region,2021-09-21,0_to_4,4065.3,11805
E12000007,London,region,2021-09-21,55_to_59,11145.8,28943
E12000007,London,region,2021-09-21,75_to_79,6159.5,6697
E12000007,London,region,2021-09-21,15_to_19,16412.0,37686
E12000007,London,region,2021-09-21,60_to_64,9595.8,19925
E12000007,London,region,2021-09-21,70_to_74,5993.7,9003
E12000007,London,region,2021-09-21,45_to_49,13087.0,38645
E12000007,London,region,2021-09-21,25_to_29,18694.9,70274
E12000007,London,region,2021-09-21,65_to_69,7374.9,12322
E12000007,London,region,2021-09-21,50_to_54,12332.7,35440
E12000007,London,region,2021-09-21,5_to_9,5492.5,16233
E12000007,London,region,2021-09-21,80_to_84,7004.8,5978
E12000007,London,region,2021-09-21,90+,12350.5,4718
E12000007,London,region,2021-09-21,35_to_39,13702.0,51207
E12000007,London,region,2021-09-21,40_to_44,13801.3,45408
E12000007,London,region,2021-09-21,30_to_34,15274.6,60803
E12000007,London,region,2021-09-21,85_to_89,8961.0,4996
E12000007,London,region,2021-09-20,0_to_4,4055.0,11775
E12000007,London,region,2021-09-20,90+,12342.6,4715
E12000007,London,region,2021-09-20,50_to_54,12311.2,35378
E12000007,London,region,2021-09-20,80_to_84,7001.2,5975
E12000007,London,region,2021-09-20,70_to_74,5987.0,8993
E12000007,London,region,2021-09-20,10_to_14,10265.9,27517
E12000007,London,region,2021-09-20,35_to_39,13667.8,51079
E12000007,London,region,2021-09-20,55_to_59,11125.0,28889
E12000007,London,region,2021-09-20,5_to_9,5448.1,16102
E12000007,London,region,2021-09-20,85_to_89,8946.6,4988
E12000007,London,region,2021-09-20,40_to_44,13756.0,45259
E12000007,London,region,2021-09-20,30_to_34,15246.2,60690
E12000007,London,region,2021-09-20,60_to_64,9578.5,19889
E12000007,London,region,2021-09-20,15_to_19,16338.4,37517
E12000007,London,region,2021-09-20,65_to_69,7354.5,12288
E12000007,London,region,2021-09-20,25_to_29,18669.6,70179
E12000007,London,region,2021-09-20,75_to_79,6146.6,6683
E12000007,London,region,2021-09-20,45_to_49,13047.8,38529
E12000007,London,region,2021-09-20,20_to_24,21273.4,57975
E12000007,London,region,2021-09-19,70_to_74,5973.1,8972
E12000007,London,region,2021-09-19,15_to_19,16273.5,37368
E12000007,London,region,2021-09-19,20_to_24,21251.3,57915
E12000007,London,region,2021-09-19,55_to_59,11104.6,28836
E12000007,London,region,2021-09-19,30_to_34,15217.1,60574
E12000007,London,region,2021-09-19,10_to_14,10125.9,27142
E12000007,London,region,2021-09-19,25_to_29,18646.2,70091
E12000007,London,region,2021-09-19,80_to_84,6987.2,5963
E12000007,London,region,2021-09-19,90+,12326.9,4709
E12000007,London,region,2021-09-19,45_to_49,13006.8,38408
E12000007,London,region,2021-09-19,50_to_54,12283.0,35297
E12000007,London,region,2021-09-19,5_to_9,5389.6,15929
E12000007,London,region,2021-09-19,0_to_4,4043.6,11742
E12000007,London,region,2021-09-19,65_to_69,7333.6,12253
E12000007,London,region,2021-09-19,35_to_39,13638.1,50968
E12000007,London,region,2021-09-19,40_to_44,13710.4,45109
E12000007,London,region,2021-09-19,85_to_89,8939.4,4984
E12000007,London,region,2021-09-19,60_to_64,9557.8,19846
E12000007,London,region,2021-09-19,75_to_79,6134.7,6670
E12000007,London,region,2021-09-18,60_to_64,9540.5,19810
E12000007,London,region,2021-09-18,45_to_49,12975.0,38314
E12000007,London,region,2021-09-18,40_to_44,13685.8,45028
E12000007,London,region,2021-09-18,75_to_79,6125.5,6660
E12000007,London,region,2021-09-18,80_to_84,6968.4,5947
E12000007,London,region,2021-09-18,50_to_54,12256.2,35220
E12000007,London,region,2021-09-18,10_to_14,10029.7,26884
E12000007,London,region,2021-09-18,55_to_59,11086.5,28789
E12000007,London,region,2021-09-18,25_to_29,18627.1,70019
E12000007,London,region,2021-09-18,85_to_89,8934.0,4981
E12000007,London,region,2021-09-18,90+,12319.0,4706
E12000007,London,region,2021-09-18,35_to_39,13614.0,50878
E12000007,London,region,2021-09-18,15_to_19,16219.5,37244
E12000007,London,region,2021-09-18,20_to_24,21231.2,57860
E12000007,London,region,2021-09-18,5_to_9,5354.1,15824
E12000007,London,region,2021-09-18,65_to_69,7318.0,12227
E12000007,London,region,2021-09-18,30_to_34,15199.5,60504
E12000007,London,region,2021-09-18,70_to_74,5963.1,8957
E12000007,London,region,2021-09-18,0_to_4,4035.0,11717
E12000007,London,region,2021-09-17,0_to_4,4022.6,11681
E12000007,London,region,2021-09-17,90+,12311.2,4703
E12000007,London,region,2021-09-17,85_to_89,8930.5,4979
E12000007,London,region,2021-09-17,40_to_44,13658.4,44938
E12000007,London,region,2021-09-17,20_to_24,21209.9,57802
E12000007,London,region,2021-09-17,30_to_34,15178.9,60422
E12000007,London,region,2021-09-17,5_to_9,5322.3,15730
E12000007,London,region,2021-09-17,80_to_84,6960.2,5940
E12000007,London,region,2021-09-17,15_to_19,16172.9,37137
E12000007,London,region,2021-09-17,50_to_54,12235.0,35159
E12000007,London,region,2021-09-17,70_to_74,5953.1,8942
E12000007,London,region,2021-09-17,10_to_14,9943.1,26652
E12000007,London,region,2021-09-17,60_to_64,9531.3,19791
E12000007,London,region,2021-09-17,25_to_29,18608.5,69949
E12000007,London,region,2021-09-17,65_to_69,7306.6,12208
E12000007,London,region,2021-09-17,45_to_49,12948.2,38235
E12000007,London,region,2021-09-17,75_to_79,6117.2,6651
